username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
PhilipD606,,,Guildford-United Kingdom,2012,202.0,293.0,6.0,3.0,16.0,26.0,116.0,132.0,[],GB
121cecilie_,,,,2018,2.0,2.0,1.0,,,,,,[],
oya_10,woman,35-49,Kyrenia-Cyprus,2009,103.0,194.0,6.0,3.0,12.0,41.0,25.0,115.0,[],CY
Aquatamer,man,,Niagara-on-the-Lake-Canada,2006,107.0,323.0,6.0,4.0,12.0,51.0,86.0,174.0,[],CA
palomino62,woman,50-64,Lynbrook-New York,2010,96.0,345.0,6.0,1.0,4.0,32.0,160.0,148.0,[],US
mkk7dc,,,Washington DC-District of Columbia,2016,6.0,9.0,3.0,1.0,0.0,0.0,1.0,7.0,[],US
Chexz,,,Heathmont-Australia,2012,36.0,97.0,5.0,1.0,4.0,21.0,28.0,43.0,[],AU
maryml4844SN,,,Glen Head-New York,2014,235.0,165.0,6.0,1.0,1.0,5.0,10.0,156.0,[],US
GrandTour61174,,,,2008,40.0,11.0,3.0,1.0,1.0,1.0,0.0,8.0,[],
pjmsimmons,man,35-49,Portarlington-Ireland,2006,128.0,221.0,6.0,0.0,2.0,32.0,103.0,90.0,[],IE
184jimmyo,,,,2016,6.0,9.0,3.0,0.0,0.0,2.0,1.0,6.0,[],
JuliWallx,,,Athens-Greece,2018,7.0,7.0,2.0,0.0,1.0,0.0,0.0,6.0,[],GR
KrystalDeAnda,,,Ayer-Massachusetts,2017,13.0,26.0,4.0,1.0,1.0,1.0,6.0,19.0,[],US
Travelogo,Man,,London-United Kingdom,2009,167.0,114.0,6.0,0.0,2.0,13.0,16.0,91.0,[],GB
Toscasmum,woman,50-64,Forfar-United Kingdom,2013,40.0,102.0,6.0,2.0,10.0,26.0,23.0,41.0,[],GB
Grantig,,,Dublin,2009,172.0,146.0,6.0,5.0,9.0,27.0,53.0,54.0,[],IE
834olyas,,,Sliema-Malta,2016,9.0,12.0,3.0,1.0,1.0,1.0,0.0,9.0,[],MT
722reneen,Woman,,Ottawa-Canada,2016,12.0,16.0,3.0,0.0,0.0,1.0,1.0,14.0,[],CA
bethebel,Woman,,Albany-New York,2009,21.0,59.0,5.0,0.0,4.0,15.0,22.0,18.0,[],US
shgrippo,,,Vancouver-Canada,2006,19.0,24.0,4.0,1.0,1.0,1.0,10.0,11.0,[],CA
KylieG267,woman,35-49,Melbourne-Australia,2013,61.0,55.0,5.0,3.0,3.0,5.0,20.0,29.0,[],AU
Jazzumbo,man,35-49,Campulung-Romania,2008,152.0,397.0,6.0,3.0,19.0,55.0,206.0,121.0,"['Art and Architecture Lover', 'Foodie', 'Like a Local', 'Nature Lover']",RO
BgmStachi,,,Vienna-Austria,2015,34.0,60.0,5.0,8.0,2.0,2.0,11.0,38.0,[],AT
Vancovervoyager,,,,2010,19.0,26.0,4.0,1.0,0.0,2.0,13.0,10.0,[],
